TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
388,Phosphoenolpyruvate-protein phosphotransferase,"Phosphotransferase system, enzyme I
EC=2.7.3.9",Escherichia coli (strain K12):83333,Protein>Enzyme,P08839,"1EZA, 1EZB, 1EZC, 1EZD, 1ZYM, 2EZA, 2EZB, 2EZC, 2HWG, 2KX9, 2L5H, 2MP0, 2XDF, 3EZA, 3EZB, 3EZE",General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr).
389,"Lipopolysaccharide, LPS",NULL,Escherichia coli:562,Organic molecules or materials,NULL,NULL,NULL
390,S-layer protein,"Surface array protein, SAP",Campylobacter fetus:196,Protein>Others,P35827,NULL,The S-layer is a paracrystalline mono-layered assembly of proteins which coats the surface of bacteria. This protein is critical for virulence.
391,"Major surface protein 1a, MSP1A",NULL,Anaplasma marginale (strain Florida):320483,Protein>Others,B9KIE7,NULL,NULL
392,"Non-structural protein 1, NS1",NULL,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2):31634,Protein>Others,P29990 [776-1127],2R69,NULL
393,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2, SERCA2, SR Ca(2+)-ATPase 2","Calcium pump 2
Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform
Endoplasmic reticulum class 1/2 Ca(2+) ATPase
EC=3.6.3.8",Homo sapiens (Human):9606,Protein>Enzyme,P16615,NULL,This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the translocation of calcium from the cytosol to the sarcoplasmic reticulum lumen. Isoform 2 is involved in the regulation of the contraction/relaxation cycle.
394,Adhesin P1,"Attachment protein
Cytadhesin P1
MgPa",Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195):243273,Protein>Others,P20796,NULL,The protein is the major adhesin mediating the attachment of this mycoplasma to the ciliated epithelium.
395,"Variant surface glycoproteins LiTat 1.3, VSG LiTat 1.3",NULL,Trypanosoma brucei gambiense:31285,Protein>Others,GI:13276853,NULL,NULL
396,"Variant surface glycoproteins LiTat 1.5, VSG LiTat 1.5",NULL,Trypanosoma brucei gambiense:31285,Protein>Others,GI:317184371,NULL,NULL
397,Malondialdehyde-modified LDL (MDA-LDL),NULL,Homo sapiens (Human):9606,Inorganic molecules or materials,NULL,NULL,NULL
398,Platelet-derived growth factor subunit B,"PDGF-2
Platelet-derived growth factor B chain
Platelet-derived growth factor beta polypeptide
Proto-oncogene c-Sis
INN=Becaplermin",Homo sapiens (Human):9606,Protein>Others,P01127,"1PDG, 3MJG, 4HQU, 4HQX","Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal proliferation and recruitment of pericytes and vascular smooth muscle cells in the central nervous system, skin, lung, heart and placenta. Required for normal blood vessel development, and for normal development of kidney glomeruli. Plays an important role in wound healing. Signaling is modulated by the formation of heterodimers with PDGFA "
399,Interleukin-10 receptor subunit alpha (IL-10RA),"CDw210a
Interleukin-10 receptor subunit 1
CD_antigen=CD210",Homo sapiens (Human):9606,Protein>Receptor,Q13651,"1J7V, 1LQS, 1Y6K, 1Y6M, 1Y6N",Defects in IL10RA are the cause of inflammatory bowel disease type 28 (IBD28).
400,T-cell surface antigen CD2,"Erythrocyte receptor
LFA-2
LFA-3 receptor
Rosette receptor
T-cell surface antigen T11/Leu-5
CD_antigen=CD2",Homo sapiens (Human):9606,Protein>Others,P06729,"1CDB, 1GYA, 1HNF, 1L2Z, 1QA9, 2J6O, 2J7I ","CD2 interacts with lymphocyte function-associated antigen (LFA-3) and CD48/BCM1 to mediate adhesion between T-cells and other cell types. CD2 is implicated in the triggering of T-cells, the cytoplasmic domain is implicated in the signaling function.
"
401,p53 protein ,NULL,Unknown,Protein>Others,NULL,NULL,NULL
402,"Interleukin-10, IL-10","Cytokine synthesis inhibitory factor, CSIF
",Homo sapiens (Human):9606,Protein>Others,P22301,"1ILK, 1INR, 1J7V, 1LK3, 1Y6K, 2H24, 2ILK ","IL-10 inhibits the synthesis of a number of cytokines, including IFN-gamma, IL-2, IL-3, TNF and GM-CSF produced by activated macrophages and by helper T-cells."
403,Oxidized low-density lipoprotein ,NULL,Mus musculus (Mouse):10090,Protein>Others,NULL,NULL,NULL
404,Cytokeratin (CK) 8/18 complex,NULL,Mus musculus (Mouse):10090,Protein>Others,NULL,NULL,NULL
405,Estrogen,NULL,Unknown,Protein>Others,NULL,NULL,NULL
406,"Phase I LPS, PI-LPS",NULL,Mus musculus (Mouse):10090,Protein>Others,NULL,NULL,"PI-LPS is a major outer surface component of C. burnetii, which is comprised of three structural domains, as follows: the hydrophobic lipid A, the core oligosaccharide (inner and outer core), and the polysaccharide O-Ag."
407,"Fanconi anemia group F protein, FANCF ",Protein FACF,Homo sapiens (Human):9606,Protein>Others,Q9NPI8,2IQC,NULL
408,"Outer membrane protein U, OmpU",Outer membrane protein,Vibrio mimicus:674,Protein>Others,Q27W35,NULL,NULL
409,α3(IV)NC1,NULL,Homo sapiens (Human):9606,Protein>Others,P53420,NULL,"Goodpasture disease (GP) is an autoimmune disorder mediated by circulating autoantibodies against the noncollagenous-1 (NC1) domain of the α3 chain of type IV collagen (α3(IV)NC1). There are six type IV collagen isoforms, alpha 1(IV)-alpha 6(IV)."
410,"The multidrug resistance-associated protein 1, MRP1","ATP-binding cassette sub-family C member 1
Leukotriene C(4) transporter
LTC4 transporter",Rattus norvegicus (Rat):10116,Protein>Others,Q8CG09,NULL,NULL
411,Integrin beta-2,"Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta
Complement receptor C3 subunit beta
CD_antigen
CD18",Mus musculus (Mouse):10090,Protein>Others,P11835,NULL,NULL
412,"Human urokinase  receptor, uPAR ",NULL,Homo sapiens (Human):9606,Protein>Receptor,NULL,NULL,NULL
413,Anti-TNF-α polyclonal antibody,NULL,Oryctolagus cuniculus (Rabbit):9986,Protein>Polyclonal antibody,NULL,NULL,NULL
414,VIP peptides,Vasoactive intestinal polypeptide,Mus musculus (Mouse):10090,Organ and tissue,P32648,NULL,NULL
415,"CFP10-ESAT-6, CE",NULL,None,Protein>Others,NULL,NULL,"The 10-kDa culture filtrate protein (CFP10) and 6-kDa early-secreted target antigen (ESAT-6) are two low molecular weight secretory proteins encoded by the Rv3874 and Rv3875 gene, respectively. "
416,"Botulinum neurotoxin type A, BoNT/A","Bontoxilysin-A
BOTOX
",Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A):441771,Protein>Others,A5HZZ9,"1XTF, 1XTG, 2W2D, 3DSE, 3K3Q, 3QIX, 3QIY, 3QIZ, 3QJ0, 3QW5, 3QW6, 3QW7, 3QW8","Botulinum neurotoxin (BoNT) produced by a Gram-positive bacterium Clostridium botulinumcauses food-borne botulism by oral ingestion of the toxin along with polluted foods. The BoNT is classified into seven serotypes A-G, based on the immunological differences of the toxin. Serotypes A, B, E, and F are dominantly involved in human botulism, whereas serotypes C and D associate with animal and avian diseases."
417,"Keratinocyte growth factor, KGF",NULL,Homo sapiens (Human):9606,Protein>Others,Q6RK68,NULL,"Keratinocyte growth factor (KGF) secreted by interstitial cells is a kind of paracrine cytokine with multifunction. KGF plays significant roles in epithelial wound repair, embryonic development, immunity, and tumor formation and development. KGF overexpression by adenoviral vector at the wound site leads to a concomitant reepithelialization enhancement, indicating its potential use in reepithelialization.Consistently, KGF produces a rapid and profound stimulation on proliferation and motility of breast cancer cells."
418,Glycoprotein G,NULL,Rabies virus (strain CVS-11) (RABV):11294,Protein>Others,O92284,NULL,"The rabies virus has a single-stranded, antisense, non-segmented RNA genome that is approximately 12kb long and is comprised of five genes that encode the following proteins: nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA polymerase complex (L). The N and G proteins have been identified as viral antigens. The N protein is the main antigen that induces T cell immunity. The G protein is a transmembrane glycoprotein that constitutes the surface spikes of the virus."
419,"Fibroblast growth factor receptor 3, FGFR-3",CD_antigen,Homo sapiens (Human):9606,Protein>Receptor,P22607,1RY7,NULL
420,Calcium,NULL,None,Inorganic molecules or materials,NULL,NULL,NULL
421,DWARF4,NULL,Unknown,Protein>Enzyme,NULL,NULL,DWARF4 is a C22 hydrolase which is classified into plant cytochrome P450 (Cyp450) monooxygenase super family and contains heme and iron in an interior location of the enzyme where it catalyzes the hydroxylation reaction.
422,"Interleukin 1β, IL1β",NULL,Unknown,Protein>Others,NULL,NULL,NULL
423,"Trans-sialidase, TcTS",NULL,Trypanosoma cruzi:5693,Protein>Others,Q9BHJ5,NULL,"TcTS, as expressed in the invasive trypomastigote stage, has two clearly defined regions: a globular amino terminus of about 640 amino acids containing the catalytic activity and a variable number of a repeated highly antigenic motif of 12 amino acids known as SAPA."
424,Glyphosate receptors,NULL,Unknown,Protein>Others,NULL,NULL,"Glyphosate receptors, such as 5-enolpyruvylshikimate-3-phosphate synthase (EPSPS), contains strictly conserved residues of Arg (R)-124, Asp (D)-313, Arg (R)-344, and Arg (R)-386. Binding of glyphosate to these residues can inhibit the EPSPS activity and block the shikimate pathway for synthesis of the aromatic amino acids."
425,CD147,"Basigin
5F7
Collagenase stimulatory factor
Extracellular matrix metalloproteinase inducer
Leukocyte activation antigen M6
OK blood group antigen
Tumor cell-derived collagenase stimulatory factor",Homo sapiens (Human):9606,Protein>Others,P35613,"3B5H, 3I84, 3I85, 3QQN, 3QR2","CD147 is a transmembrane glycoprotein of the immunoglobulin superfamily. It is highly enriched on the surface of cancer cells. Thus, it has been taken as a biomarker that can be used in cancer detection."
426,PAP1,Prostatic acid phosphatase,Homo sapiens (Human):9606,Protein>Enzyme,P15309,"1CVI, 1ND5, 1ND6, 2HPA, 2L3H, 2L77, 2L79, 3PPD",NULL
427,"Prostatic acid phosphatase, PAP","5'-nucleotidase, 5'-NT
Ecto-5'-nucleotidase
Thiamine monophosphatase, TMPase",Homo sapiens (Human):9606,Protein>Enzyme,P15309,"1CVI, 1ND5, 1ND6, 2HPA, 2L3H, 2L77, 2L79, 3PPD",
428,PAP3,Prostatic acid phosphatase,Homo sapiens (Human):9606,Protein>Enzyme,P15309,"1CVI, 1ND5, 1ND6, 2HPA, 2L3H, 2L77, 2L79, 3PPD",NULL
429,PAP4,Prostatic acid phosphatase,Homo sapiens (Human):9606,Protein>Enzyme,P15309,"1CVI, 1ND5, 1ND6, 2HPA, 2L3H, 2L77, 2L79, 3PPD",NULL
430,FLAG sequence,NULL,Unknown,Protein>Others,NULL,NULL,"FLAG, a short hydrophilic peptide consisting of eight amino acids (DYKDDDDK), has been widely used as a fusion tag for the purification and detection of a wide variety of recombinant proteins."
431,Growth hormone secretagogue receptor type 1,"GHS-R
GH-releasing peptide receptor
GHRP
Ghrelin receptor

",Homo sapiens (Human):9606,Protein>Receptor,Q92847,NULL,NULL
432,Genome polyprotein,NULL,Classical swine fever virus (strain Brescia) (CSFV) (Hog cholera virus):11098,Protein>Others,P21530,NULL,"Genome polyprotein was cleaved into 13 chains. The E2 glycoprotein is the most immunodominant protein, eliciting neutralizing antibodies which can protect animals from virus challenge."
433,Non-structural protein NS1,"Non-capsid protein NS-1
NCVP1",Unknown,Protein>Others,NULL,NULL,"The dengue virus non-structural NS1 protein is the only glycoprotein among its 7 NS proteins, which is an obbligato component in the DENV replication complex. All non-structural proteins are intracellular proteins with the exception of dengue NS1 protein, which exists as secreted as well as a membrane-associated protein. The molecular weight of NS1 is about 42-50 kDa and it approximately consists of 352 amino acids, which possesses both group specific and type specific determinants and has been postulated to contribute to the pathogenesis of dengue."
434,"Thomsen--Friedenreich glycoantigen, TFAg",NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,"The cancer-associated Thomsen--Friedenreich glycoantigen (TFAg), a galactose β1-3N-acetylgalactosamine disaccharide exposed on up to 90% of human carcinomas, is one of the major galectin-3 carbohydrate ligands present on cancer cells. Increased levels of TFAg correlate with metastasis in gastric, colorectal and breast carcinomas."
435,"Transmissible gastroenteritis virus, TGEV",NULL,None,Virus,NULL,NULL,"Transmissible gastroenteritis virus (TGEV) is the causative agent of transmissible gastroenteritis (TGE), a highly contagious enteric disease in swine."
436,NS2,Non-structural protein NS2,Bluetongue virus 8:197780,Protein>Others,B4ERJ7,NULL,The NS2 protein of Bluetongue virus (BTV) is an important non-structural protein and plays important roles in viral replication and assembly. It is a multifunctional protein and is the only BTV protein known to undergo phosphorylation.
437,"Triosephosphate isomerase, TPI","TIM
EC=5.3.1.1
Triose-phosphate isomerase",Taenia solium (Pork tapeworm):6204,Protein>Enzyme,Q9GTX8,NULL,NULL
438,"Cold-shock DEAD-box protein A, CsdA","ATP-dependent RNA helicase DeaD
EC=3.6.4.13",Mycobacterium tuberculosis:1773,Protein>Enzyme,Q11039,NULL,NULL
439,"Lipopolysaccharide, LPS",NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
440,β2m-free or β2m-associated HLA class I heavy chains,NULL,Unknown,Protein>Others,NULL,NULL,NULL
441,"Plasminogen, EC=3.4.21.7",NULL,Homo sapiens (Human):9606,Protein>Others,P00747,"1B2I, 1BML, 1BUI, 1CEA, 1CEB, 1DDJ, 1HPJ, 1HPK, 1I5K, 1KI0, 1KRN, 1L4D, 1L4Z, 1PK4, 1PKR, 1PMK, 1QRZ, 1RJX, 2DOH, 2DOI, 2KNF, 2L0S, 2PK4, 3UIR, 4A5T, 4DCB, 4DUR, 4DUU, 5HPG","Plasminogen was cleaved into the following 5 chains: plasmin heavy chain A, activation peptide, angiostatin, plasmin heavy chain A, short form, plasmin light chain B."
442,"Transforming growth factor beta receptor type 3, TGF-beta receptor type 3, TGFR-3","Betaglycan
Transforming growth factor beta receptor III
Short name=TGF-beta receptor type III",Homo sapiens (Human):9606,Protein>Receptor,Q03167,NULL,The transforming growth factor beta receptor type 3 binds to TGF-beta. It could be involved in capturing and retaining TGF-beta for presentation to the signaling receptors.
443,"Fatty acid synthase, EC=2.3.1.85",NULL,Homo sapiens (Human):9606,Protein>Enzyme,P49327,"1XKT, 2CG5, 2JFD, 2JFK, 2PX6, 3HHD, 3TJM","The target antigen against K1 autoantibody was analyzed and revealed as fatty acid synthase(FASN), a well known oncogenic protein."
444,Capsid protein,NULL,Porcine circovirus 2 (PCV2):85708,Protein>Others,O56129,NULL,"Porcine circovirus 2 (PCV2) contains a single-stranded circular DNA genome of 1.76–1.78 kb with three primary open reading frames (ORFs). ORF2 encodes the only structural  protein, Cap, which is the immunodominant antigenic area of the virus  and the basis for vaccine development."
445,Survival motor neuron protein,"Component of gems 1
Gemin-1",Homo sapiens (Human):9606,Protein>Others,Q16637,"1G5V, 1MHN, 2LEH, 3S6N, 4A4E, 4A4G, 4GLI","SMN (survival-of-motor-neurons) is the protein affected by mutation in Spinal Muscular Atrophy (SMA), a neuromuscular disorder characterised by loss of motor neurons, and the severity of SMA is inversely related to functional SMN levels. The SMN core complex, consisting of SMN with seven additional gemins, gemin2–8, and unrip (unr interacting protein), assembles U snRNPs in the cytoplasm and transports them into the nucleus for assembly into the spliceosome."
446,Clumping factor A and B,"Fibrinogen receptor A and B
Fibrinogen-binding protein A and B",Staphylococcus aureus (strain NCTC 8325):9306,Protein>Others,"Q2G015, Q2FUY2",Clumping factor A: 2VR3,NULL
447,"CD40 ligand, CD40-L","Tumor necrosis factor ligand superfamily member 5
TNF-related activation protein, AP
T-cell antigen Gp39
CD_antigen=CD154",Homo sapiens (Human):9606,Protein>Others,P29965,"1ALY , 1I9R , 3LKJ , 3QD6",NULL
448,Thrombopoietin,"C-mpl ligand
ML
Megakaryocyte colony-stimulating factor
Megakaryocyte growth and development factor
MGDF
Myeloproliferative leukemia virus oncogene ligand",Homo sapiens (Human):9606,Protein>Others,P40225,"1V7M, 1V7N",NULL
449,"Estrone-3-glucuronide, E-3-G",NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,E-3-G is a derivative of estradiol found in urine. It marks the appearance of fertile-type mucus at the beginning of the fertile period of the human menstrual cycle.
450,"Mucin-1, MUC-1","Breast carcinoma-associated antigen DF3
Cancer antigen 15-3
CA 15-3
Carcinoma-associated mucin
Episialin
H23AG
Krebs von den Lungen-6
KL-6
PEMT
Peanut-reactive urinary mucin
PUM
Polymorphic epithelial mucin
PEM
Tumor-associated epithelial membrane antigen
EMA
Tumor-associated mucin
CD_antigen=CD227",Homo sapiens (Human):9606,Protein>Others,P15941,"1SM3, 2ACM, 2FO4",NULL
451,"Paramyosin, Ts-Pmy",NULL,Trichinella spiralis (Trichina worm):6334,Protein>Others,A3RLX8,NULL,Paramyosin (Ts-Pmy) is an immunodominant antigens of T. spiralis.
452,Fibroblast growth factors,NULL,Mus musculus (Mouse):10090,Protein>Others,"P61148, P15655, P05524, P11403, P15656, P21658, P36363, P37237, P54130, O35565, P70378, P61329, P70377, P70379, O35622, Q9ESL8, P63075, O89101, Q9ESL9, Q9JJN1, Q9ESS2, Q9EPC2",NULL,NULL
453,"S-adenosyl-L-homocysteine, SAH",NULL,Unknown,Organic molecules or materials,NULL,NULL,"The chemical compound S-adenosyl-L-homocysteine (SAH) is an intermediate in methionine metabolism, which is observed in all organisms from bacteria to humans. It is produced by all S-adenosyl-L-methionine (SAM)-dependent enzymatic methylation reactions via SAM demethylation, and followed by conversion to homocysteine (Hcy) and adenosine by the enzyme SAH hydrolase."
454,Type A/B ephrins,NULL,Mus musculus (Mouse):10090,Protein>Others,"Ephrin-A1:P52793, Ephrin-A2:P52801, Ephrin-A3:O08545, Ephrin-A4:O08542, Ephrin-A5:O08543, Ephrin-B1:P52795, Ephrin-B2:P52800, Ephrin-B3:O35393","Ephrin-A5:1SHW, 1SHX
Ephrin-B2:1IKO, 1KGY
Ephrin-B3:3D12",NULL
455,"Allergen Ara h 1, clone P41B","Allergen Ara h I
Allergen=Ara h 1",Arachis hypogaea (Peanut):3818,Protein>Others,"3S7E, 3S7I, 3SMH",NULL,NULL
456,Eukaryotic translation initiation factor 2 subunit 1,"Eukaryotic translation initiation factor 2 subunit alpha
eIF-2-alpha
eIF-2A
eIF-2alpha",Homo sapiens (Human):9606,Protein>Others,P05198,"1KL9, 1Q8K",NULL
457,"Peptidyl-prolyl cis-trans isomerase A, PPIase A","Rotamase A
Cyclophilin A
Cyclosporin A-binding protein
EC= 5.2.1.8",Homo sapiens (Human):9606,Protein>Enzyme,P62937,"1AK4 , 1AWQ , 1AWR , 1AWS , 1AWT , 1AWU , 1AWV , 1BCK , 1CWA , 1CWB , 1CWC , 1CWF , 1CWH , 1CWI , 1CWJ , 1CWK , 1CWL , 1CWM , 1CWO , 1FGL , 1M63 , 1M9C , 1M9D , 1M9E , 1M9F , 1M9X , 1M9Y , 1MF8 , 1MIK , 1NMK , 1OCA , 1RMH , 1VBS , 1VBT , 1W8L , 1W8M , 1W8V , 1YND , 1ZKF , 2ALF , 2CPL , 2CYH , 2RMA , 2RMB , 2X25 , 2X2A , 2X2C , 2X2D , 2XGY , 3CYH , 3CYS , 3K0M , 3K0N , 3K0O , 3K0P , 3K0Q , 3K0R , 3ODI , 3ODL , 3RDD , 4CYH , 5CYH",
458,Leishmania infantum,NULL,None,Miscellaneous,NULL,NULL,Leishmania infantum caused canine visceral leishmaniasis (CVL).
459,"2,2′,4,4′-tetrabromodiphenyl ether, BDE47",NULL,None,Organic molecules or materials,NULL,NULL,"Polybrominated diphenyl ethers (PBDEs) are a group of chemicals known as brominated flame retardants, introduced partly in response to the banning of previously-used fire retardants, polybrominated biphenyls and polychlorinated biphenyls. 2,2′,4,4′-Tetrabromodiphenyl ether (BDE47) is one of the most ubiquitous and toxic congeners in the environment and can be an indicator of exposure to lower brominated PBDEs."
460,Low-density lipoprotein receptor,LDL receptor,Homo sapiens (Human):9606,Protein>Receptor,P01130,"1AJJ , 1D2J , 1F5Y , 1F8Z , 1HJ7 , 1HZ8 , 1I0U , 1IJQ , 1LDL , 1LDR , 1N7D , 1XFE , 2FCW , 2KRI , 2LGP , 2W2M , 2W2N , 2W2O , 2W2P , 2W2Q , 3BPS , 3GCW , 3GCX , 3M0C , 3P5B , 3P5C , 3SO6",NULL
461,"Insulin-like growth factor I, IGF-I",Somatomedin,Bos taurus (Bovine):9913,Protein>Others,P07455,NULL,NULL
462,"Shiga toxin, Shiga toxin subunit A and Shiga toxin subunit B",NULL,Shigella dysenteriae:622,Protein>Others,"Shiga toxin subunit A: Q9FBI2 , Shiga toxin subunit B: Q7BQ98","Shiga toxin subunit A: 1DM0 , 1R4Q
Shiga toxin subunit B: 1DM0 , 1R4Q",Shiga toxin contains a single subunit A and five copies of subunit B.
463,"FGFR-1, FGFR-2, FGFR-3 and FGFR-4",NULL,Homo sapiens (Human):9606,Protein>Receptor,"FGFR-1: P11362, FGFR-2: P21802, FGFR-3: P22607, FGFR-4: P22455","FGFR-1: 1AGW ,1CVS ,1EVT ,1FGI ,1FGK ,1FQ9 ,1XR0 ,2CR3 ,2FGI ,3C4F ,3DPK ,3GQI ,3GQL ,3JS2 ,3KRJ ,3KRL ,3KXX ,3KY2 ,3OJV ,3RHX ,3TT0 ,4F63 ,4F64 ,4F65 ,4NK9 ,4NKA ,4NKS
FGFR-2: 1DJS ,1E0O ,1EV2 ,1GJO ,1II4 ,1IIL ,1NUN ,1OEC ,1WVZ ,2FDB ,2PSQ ,2PVF ,2PVY ,2PWL ,2PY3 ,2PZ5 ,2PZP ,2PZR ,2Q0B ,3B2T ,3CAF ,3CLY ,3CU1 ,3DAR ,3EUU ,3OJ2 ,3OJM ,3RI1 ,4J23 ,4J95 ,4J96 ,4J97 ,4J98 ,4J99
FGFR-3: 1RY7, 2LZL, 4K33",NULL
464,Type A ephrins,NULL,Mus musculus (Mouse):10090,Protein>Others,"Ephrin-A1: P52793, Ephrin-A2: P52801, Ephrin-A3: O08545, Ephrin-A4: O08542, Ephrin-A5: O08543","Ephrin-A5:1SHW, 1SHX",NULL
465,Envelope protein E,NULL,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2):31634,Protein>Others,P29990[281-775],"2R69, 4O6B",NULL
466,Claudin 18.2,NULL,Unknown,Protein>Others,NULL,NULL,The cancer-specific cell surface target Claudin 18 isoform 2 (CLDN18.2) is a 27.7 kDa gastric differentiation protein that spans the cell membrane with four transmembrane helices
467,Ras-related protein Rab-3A,SMG P25A,Bos taurus (Bovine):9913,Protein>Others,P11023,NULL,NULL
468,Metuximab,NULL,Mus musculus (Mouse):10090,Protein>Monoclonal antibody,NULL,NULL,"Metuximab is the generic name of HAb18, a mouse monoclonal antibody of IgG1 class. The hybridoma producing HAb18 was made from mice immunized with a cell suspension of fresh human hepatocellular carcinoma tissues."
469,Anti-AMA1 monoclonal antibody 4G2dc1,Mab 4G2dc1,Rattus norvegicus (Rat):10116,Protein>Monoclonal antibody,NULL,NULL,Rat monoclonal antibody 4G2dc1 recognizes correctly folded AMA1 and blocks merozoite invasion of erythrocytes.
470,"Epstein-Barr virus, EBV",NULL,None,Virus,NULL,NULL,"Epstein-Barr virus (EBV) is the primary causative agent of infectious mononucleosis and in severe cases is involved in the pathogenesis of certain types of lymphomas, nasopharyngeal carcinoma, and posttransplantation lymphoproliferative disease."
471,Ganglioside GD1α SIAT7-E and SIAT7-F,NULL,Mus musculus (Mouse):10090,Organic molecules or materials,"SIAT7-E: Q9QYJ1, SIAT7-F: Q9JM95",NULL,NULL
472,Sialyl Lewis A oligosaccharide,NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,"Certain epithelial cancer cells express sialyl Lewis X and sialyl Lewis A (NeuNAcα2→3Galβ1→3(Fucα1→4)GlcNAc→R), an isomer of sialyl Lewis X, as tumor-associated carbohydrate antigens. Sialyl Lewis A has also been shown to bind to E-selectin."
473,"Cell-wall polysaccharide (CWPS) of group A Streptococcus (GAS), GAS CWPS",NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
474,Actin,NULL,Homo sapiens (Human):9606,Protein>Others,"Actin, gamma-enteric smooth muscle: P63267, Actin, cytoplasmic 1: P60709, Actin, cytoplasmic 2: P63261, Actin, alpha cardiac muscle 1: P68032, Actin, alpha skeletal muscle: P68133, Actin, aortic smooth muscle: P62736",NULL,NULL
475,"O-antigen of lipopolysaccharide, O-Ag of LPS",NULL,Shigella flexneri serotype 5b (strain 8401):373384,Protein>Others,NULL,NULL,NULL
476,"Fibrinogen alpha, beta and gamma chain",NULL,Homo sapiens (Human):9606,Protein>Others,"Fibrinogen alpha chain: P02671, Fibrinogen beta chain: P02675, Fibrinogen gamma chain: P02679","Fibrinogen alpha chain: 1BBR, 1DM4, 1FZA, 1FZB, 1FZC, 1FZD, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 1YCP, 2A45, 2FFD, 2H43, 2HLO, 2HOD, 2HPC, 2OYH, 2OYI, 2Q9I, 2XNX, 2XNY, 2Z4E, 3AT0, 3BVH, 3E1I, 3GHG, 3H32, 3HUS, 4F27
Fibrinogen beta chain: 1FZA, 1FZB, 1FZC, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 2A45, 2FFD, 2H43, 2HLO, 2HOD, 2HPC, 2OYH, 2OYI, 2Q9I, 2XNX, 2XNY, 2Z4E, 3BVH, 3E1I, 3GHG, 3H32, 3HUS
Fibrinogen gamma chain: 1DUG, 1FIB, 1FIC, 1FID, 1FZA, 1FZB, 1FZC, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 2A45, 2FFD, 2FIB, 2H43, 2HLO, 2HOD, 2HPC, 2HWL, 2OYH, 2OYI, 2Q9I, 2VDO, 2VDP, 2VDQ, 2VDR, 2VR3, 2XNX, 2XNY, 2Y7L, 2Z4E, 3BVH, 3E1I, 3FIB, 3GHG, 3H32, 3HUS, 4B60",NULL
477,T. saginata metacestode crude antigen,TsCa,Unknown,Protein>Others,NULL,NULL,NULL
478,CD14,"Monocyte differentiation antigen CD14
Myeloid cell-specific leucine-rich glycoprotein
CD_antigen: CD14",Homo sapiens (Human):9606,Protein>Others,P08571,4GLP,NULL
479,Triosephosphate isomerase (EC:5.3.1.1),"Triose-phosphate isomerase, TIM",Taenia solium (Pork tapeworm):6204,Protein>Enzyme,Q9GTX8,NULL,NULL
480,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",NULL,Escherichia coli (strain K12):83333,Protein>Enzyme,P15047,2FWM,NULL
481,Leishmania infantum,NULL,Canis familiaris:9615,Miscellaneous,NULL,NULL,NULL
482,Glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12),"GAPDH
Plasmin receptor
Plasminogen-binding protein",Streptococcus dysgalactiae subsp. equisimilis (Streptococcus equisimilis):119602,Protein>Enzyme,Q59906,NULL,NULL
483,LPP20 lipoprotein,NULL,Helicobacter pylori NCTC 11639:637383,Protein>Others,NULL,NULL,NULL
484,Arginine kinase (AK),NULL,Scylla paramamosain (Mud crab):85552,Protein>Enzyme,D2DSQ8,NULL,NULL
485,"L. infantum protein antigen (LiAg)
",NULL,Leishmania infantum:5671,Protein>Others,NULL,NULL,NULL
486,Human cardiac troponin I (hcTnI),NULL,Homo sapiens (Human):9606,Protein>Others,P19429,"1J1D, 1J1E, 1LXF, 1MXL, 1OZS, 2KGB, 2KRD, 2L1R",NULL
